id|nama_product|terjual|rating|lokasi|nama_toko|img|link_product
1|MINISO Earphone Earbud Headphone In-Ear Colorful Musik Headset Stereo - Putih, Seri kapsul|10rb+ terjual|4.9|Dilayani Tokopedia|Miniso Indonesia|https://images.tokopedia.net/img/cache/200-square/VqbcmM/2022/8/12/7a242372-9420-41b7-8db1-9f5d27382d87.jpg|https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEo_Up6Ae76_eDUMVj9RzNrc1i6sJDUSupg9-wq3ei6iUFUiFiPcBWgZUEH_rFH_KOosyRHmFiyRCsUsthHAnFbm-FQRo2PcB5QiUEHZFiy3hSUstirRzW9fFp9fFa9fFhUiFiQSuWyMua9fYM9fVjraUEHs1DUMNOQ3-BrBYxgIowrMuhUstaoZFiyfV79fBjraUE3p1R6mFaoZFOosuPbm-X9foxQMz2gcV7guYxgIHi6sH7HaFiy3-wPcupPmUEUjdibm-FQRo79fVDgaUEUMzBgiUDUSgBrSo2Qfdi6i-fHiUDUMVj9RosQR-BUstOopyXoAeO6AHpHpnOoAeFHZFirpowQcYSUstig9BGqMzUZMggQj2fgAo6QJBkQfBo1pzE_Ozu8jNJgpzo8MoN_1z08jOJZ_C-q9P23_oZ8uKp_Mhg3J2ky1o-ojBk19uouVja_M2gHjNk3_-6qBja_M2gHjB2PfBxHByOgAUN8u2c692gHsBN3Bo-ojBke3BHe72OysUOqB2_Z_g-qj7F3uzs81NEgcOHuJJp_OPgPJNIz_z61pVt3BzCHJh1zMhoz77F33O6q7OEZMxg17BpZ37N83V9gICiQAB03BxmgMV913Bvq1BRZ3BRq3UpZSCqHMhO3Aom83Ua1sVgHO-MyuPzq1Y2Z9P-q9P2ysoGrVtaQIuyH7N5ysomgMV913Bvq1BRZ3BRq3oyuMhsQMhMgJPcQMoNZ_g-Q9PNyjrNHfgU8IoouRxfgAod6c-J_Mg6uVjhgjxd8MzIH_xMz7N2Z3BRq3Ha_SgsQugM33NGPMep_Mh-qMY2_1o-r7BX_M2iH72D3Ao6QVByZM2xe7jfZ32zH7N_oACvzJVR_1zoHJNJu9PvuJ17Z3dFvZUDUMoDP9o7g9-wq3zwPsUi6sUFopyDUMoxPcuSQR-N9RoOgfPBrRzwy9z7rMBiP9zBUs2QUs1foZUDUs1popHibmUOoseibmU7HAJpUiFiHpnRHZ-Pbm-FrMBsguYiq3ei6sJFHAnDUMP5y3hwq3ei6sUDUMg2QMVD9R-BQI-xQMWwy3zpyfYagZUE6AUObsU76_yOHsHfHsn7osHDUSVOg9-N9R-BQI-xQMWwrfo5rM1i6snXopypHsHp6_jaoAefH_yfHS7?dv=desktop&pub_id=0&management_type=1&r=https%3A%2F%2Fwww.tokopedia.com%2Fminiso-official%2Fminiso-earphone-earbud-headphone-in-ear-colorful-musik-headset-stereo-putih-seri-kapsul%3FextParam%3Dcmp%253D1%2526ivf%253Dfalse%26src%3Dtopads&t=desktop&ob=23&is_search=1&pub_unit=0&page=1&src=search&pub_domain=0&keywords=earphone
2|Audio-Technica ATH-CK350iS Earphone with Mic - Black|6rb+ terjual|4.9|Jakarta Pusat|Audio-Technica Official|https://images.tokopedia.net/img/cache/200-square/product-1/2020/7/12/19141949/19141949_78656da2-07cf-43a7-b6bd-0a932cb4df19_1000_1000|https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEopUdoAyFHA1DUMVj9RzNrc1i6sJDUSupg9-wq3ei6iUFUiFiPcBWgZUEH_rFH_KOosyRHmFiyRCsUsth6_nFbm-FQRo2PcB5QiUEHiFiqfuNPfYagVY2gmUEHpKao_1OopHdoZFiy3hSUstiqRzwg9xxyRzwPc7ibm-XP3Oig9-wQfgwy3zpUstaoZFiQSuWyMua9fVjrOYag9Ji6sUObm-sy9zwq3zpUs2Qo_rdbAUObA1fou7DUMNwyfVXgcBjy9zB9fVjraUEHpepbm-xyBY7g9o7Usti_iUDUSC5rRzwy3hSUstigcuMUiFiPMuarfB5QiUEUSyaUiFiy3zwrfo5rM1i6s1RHadRH_UpHsUfopHhHpUfbm-pHOYDQfri6i-B812kgJxGgBBXZSgjH7NDZ325q1OAZ9o-Q1dFyfFN8B29zSBgHMP2_fB-HJhkZ9B6uJ7h_32V8JOk3_o6qjJh_MB-r7BWPchB3czfyfOZgMHa_SgsQuu2_fB-P7hkZ9x6qjjhZ3BRq3-W69ugHBu2_fB-8jNIz_ooqMHp3MjFP7NEQcOHuV-t_7zuPVB9u9P6epCd3BzmqjNIZM2qzJON3uPVq1hAZSgsQ3hXyurOgB2IuSPyHMh0Z325q1OAZ9o-Q_BNyuPjrc-D69PsQ_B0gVP6HVKaQcW-qMY2_1o-r7BW69BxufzFyMFN8MVI69PyHMh0Z325q1OAZ9o-Qjyh3BxGouKp1MxqH7O2_fBGHc-y8AxxHO-M3BxtqVjp13BHe72E3_UN8u2363BsQ_jpyp-uq1Y2Z9P-q9P2yp-6PMoWuMgsHBgtyfO6Q7BkQfB6zcoE_c2-81N1Z_oo8B1a_jzuH1O11_--QsnYUiFiyfV7g3P5rSBwrRuSgfupPVYxPIzaq3-OPc1i6BDio_yOUiFio_HRHaUDUs1fomUDUseFH_HibmUpHArhUB7DUS-BQcufy3NsguYpyfYagZUEHmddosUd6AUN6_KOos1RHsUNbm-FrMBsguYiq3ei6sJNHAnDUMP5y3hwq3ei6sUDUMg2QMVD9R-BQI-xQMWwy3zpyfYagZUEoprNbsepo_Jf6ArRoA17oA1DUSVOg9-N9R-BQI-xQMWwrfo5rM1i6snXo_eaH_ypopyN6_ypo_rRoI7?dv=desktop&page=1&r=https%3A%2F%2Fwww.tokopedia.com%2Faudio-technica%2Faudio-technica-ath-ck350is-earphone-with-mic-black%3FextParam%3Divf%253Dfalse%2526whid%253D14622%26src%3Dtopads&src=search&is_search=1&keywords=earphone&ob=23&pub_domain=0&t=desktop&pub_id=0&pub_unit=0&management_type=1
3|BASEUS BOWIE EZ10 TRUE WIRELESS BLUETOOTH EARPHONE TWS MINI EARBUDS|1rb+ terjual|4.9|Tangerang|Baseus Official Store|https://images.tokopedia.net/img/cache/200-square/hDjmkQ/2023/5/27/bd4924d9-9be1-4a62-9ee2-b6e43a58ff5e.jpg|https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEH_jOHpUR6A1Rbm-xgVY789CBUsthbm-Orfua9fBjUstiHmUDUSz2Q31i6sJRHAJdo_yfopnDUMoFyaUEH_1FHmFircYpq9z2Qfdi6sHDUMVDgaUEUSo7QuYDHOYDHBYDHZUDUMNOQ3-BrBY5gBYxgIHi6sUObm-XP3Oig9-wy3zp9R-BrZUEHs1DUMoxPVY2gIHi6BDOopKDHs1Do_yO9ZFiQBYsy3Njq3zxPcuwy3zpUstpoAHDUMVi9RzBrRei6i-6UiFircYpPVYxQcri6i-jg3yibm-fg9-pq3YXUstiPsUibm-xgVYpyfYagZUEo_KObsr7osr7o_KFHsnNosKDUSHp9fh5gaUEUMuNZM2jZJ2M33NGPMep_Mh-qMY2_uH78JNE3_C68jJh_7zS81OEu9BvuVVNZ3BRqujp1SByH7ND3uxGqMVAZ_g-qjBO_jzgo1O1__VvzJVN_jzgo1O1__V681BpZ3O7QcuygIgsQu-Myp-6PMoWu3Bvq1BRZ3BRq3-W69ugHBu2_fB-8jNIz_ooqMHp3MjFP7NEQcOHuV-t_7zuPVB9u9P6epCd3BzmqjNIZM2qzJON3uPVq1hAZSgsQ3hXyurOgB2IuSPyHMh0Z325q1OAZ9o-Q_BNyuPjrc-D69PsQ_B0gVP6HVKaQcW-qMY2_1o-r7BW69BxufzFyMFN8MVI69PyHMh0Z325q1OAZ9o-Qjyh3BxGouKp1MxqH7O2_fBGr7OW8IgjHRKdyjzcrfUpgAxMzRPE3I2uHjNy8AxsHO-7gjxdqBB2Z9o-QjNkysoGQVKaZSBiHfzE3Bo-ojBke3BHe72E3_UN8u23692qu7gN3_-Sq1Y2Z_CvzJOO_uzu8JYJ__u6zVBN_92u8jOJu3BM1_7YUiFiyfhOrRzBrBY2gVYfHiUEH_1FopUDUMoxPcuSQR-N9RoOgfPBrRzwy9z7rMBiP9zBUs2QUs1foZUDUs1popHibmUOoseibmU7HAJpUiFiHpnRHZ-Pbm-FrMBsguYiq3ei6sJOHAnDUMP5y3hwq3ei6sUDUMg2QMVD9R-BQI-xQMWwy3zpyfYagZUEoprabsyaHArho_1pHp1FoAUDUSVOg9-N9R-BQI-xQMWwrfo5rM1i6snXoAKdHArF6ArfoAH76Ayfwe?dv=desktop&pub_unit=0&pub_domain=0&r=https%3A%2F%2Fwww.tokopedia.com%2Fbaseus%2Fbaseus-bowie-ez10-true-wireless-bluetooth-earphone-tws-mini-earbuds-black%3FextParam%3Dcmp%253D1%2526ivf%253Dtrue%26src%3Dtopads&management_type=1&keywords=earphone&t=desktop&page=1&src=search&ob=23&is_search=1&pub_id=0
4|KZ EDX Pro Earphone with Microphone|1rb+ terjual|4.9|Jakarta Barat|Yankee Official Shop|https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/10/27/44a46ef3-a3be-43c8-8830-b37ef77341dd.jpg|https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEH_URHAe7osHpbm-xgVY789CBUsthbm-Orfua9fBjUstiHmUDUSz2Q31i6sJRHAJdo_yfopnDUMoFyaUEopnFbm-FQRo2PcB5QiUEomFiy3hSUstirRzW9fFp9fFa9fFhUiFiQSuWyMua9fYM9fVjraUEHs1DUMNOQ3-BrBYxgIowrMuhUstaoZFiyfV79fBjraUE3p1R6mFaoZFOosuPbm-X9foxQMz2gcV7guYxgIHi6sH7HaFiy3-wPcupPmUEUjdibm-FQRo79fVDgaUEUMzBgiUDUSgBrSo2Qfdi6i-fHiUDUMVj9RosQR-BUstOoAjXopyR6Ae7Hs1hopJdoZFirpowQcYSUstig9BGqMzUZMggQj2fgAo6QJBkQfBo1pea_Bz0H7N1z9Po8MoE_jzz8jY1gpC-q9P23_oZ8uKp_Mhg3J2ky1o-ojBku9uoqMH7_Bz081OEypVo8Bja_Bzgo1B2PfBxHByOgAUN8u2c692gHsBN3Bo-ojBke3BHe72OysUOqB2_Z_g-qj7F3uzs81NEgcOHuJJp_OPgPJNIz_z61pVt3BzCHJh1zMhoz77F33O6q7OEZMxg17BpZ37N83V9gICiQAB03BxmgMV913Bvq1BRZ3BRq3UpZSCqHMhO3Aom83Ua1sVgHO-MyuPzq1Y2Z9P-q9P2ysoGrVtaQIuyH7N5ysomgMV913Bvq1BRZ3BRq3oyuMhsQMhMgJPcQMoNZ_g-Q9PNyjrNHfgU8IoouRxfgAod6c-J_Mg6uVjhgjxd8MzIH_xMz7N2Z3BRq3Ha_SgsQugM33NGPMep_Mh-qMY2_1o-r7BX_M2iH72D3Ao6QVByZM2xe7jfZ32zH1ONoAC68BJp_32g81YJqR2oqMHpZ3dFvZUDUMoDP9o7g9-wq3zwPsUi6sHNo_KFbm-sy9zBgfYa8uYpP3PSg9o79fV7PI-2ySu7gZUE3aUOos1ibmUOHprpUiFio_y7UiFioAnhHaUDUsHFopJi9ZFirI-2yfuwyMBjUstRHAnDUMP5y3hwq3ei6sUDUMg2QMVD9R-BQI-xQMWwy3zpyfYagZUEopypbsHa6_jFos1hopjOHseDUSVOg9-N9R-BQI-xQMWwrfo5rM1i6snXopnf6_JRHs1OH_yaH_ydHR7?ob=23&is_search=1&pub_domain=0&page=1&keywords=earphone&dv=desktop&r=https%3A%2F%2Fwww.tokopedia.com%2Fyankeeofficial%2Fkz-edx-pro-earphone-with-microphone-cyan-kabel-mic%3FextParam%3Dcmp%253D1%2526ivf%253Dfalse%26src%3Dtopads&src=search&pub_unit=0&pub_id=0&management_type=1&t=desktop
5|Headset/Earphone Realme Super Bass Original 100%|250+ terjual|4.6|Jakarta Pusat|Naila al_Husein|https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/8/31/faab1b10-821f-4fd7-bada-701a30c2d4e6.jpg|https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEH_U7HAUNH_eFbm-xgVY789CBUsthbm-Orfua9fBjUstiHmUDUSz2Q31i6sJRHAJdo_yfopnDUMoFyaUEH_yFHmFircYpq9z2Qfdi6s1DUMVDgaUEUSo7QuYDHOYDHBYDHZUDUMNOQ3-BrBY5gBYxgIHi6sUObm-XP3Oig9-wy3zp9R-BrZUEHs1DUMoxPVY2gIHi6BDOopKDHs1Do_yO9ZFiQBYsy3Njq3zxPcuwy3zpUstpoAHDUMVi9RzBrRei6i-6UiFircYpPVYxQcri6i-jg3yibm-fg9-pq3YXUstiPsUibm-xgVYpyfYagZUEo_y7bsyfosn7HsUOHAn7omFirpowQcYSUstig9BGqMzUZMggQj2fgAo6QJBkQfBoe7BpZ3O6HcoD692qu7gN3_-Sq1Y2Z_CHqjBN_BzoH1Okz9xoqBjp_M2CH1N2Z9o-Q9zDguxjPMoW1MgsHjNfyfOuq1Y2Z9P-q9P2yM7NPujau3Bvq1BE_jPVH7Okypoqq_CR_S2DQ1h11MxvzVu73uPuP7NAHIxquJ-k_jPGqB2J_9Bgu7u2_JoGPMoWQcNxupuM3jP3POKaQcW-qMY2_1o-r7BW69BxufzFyMFNPfoW63Wju7dF3A-Dq7BkQfBoe7BpZ37N83V9gICiQABEy1rNPOKaQcW-qMY2_1o-r7BXzsVq3JtO3AoZqVtp_3Bvq12p_3OdPMep8AxizJgpysoj6cgIPR2y8B1a_Bxd6cHp1SzMZIxk33B-r7BX_M2iH72D3A-G83UpgI2q17jfZ32Cq1hAZS2gHsBN3ByN8B29zSBgHMP2_fB-HJNku9u68BBE_jzsP7OkZ9Po8jJh_1zsq3gzv_7ibm-sQIupPcua9fBj9RyaUstaHAjfomFiyfV7g3P5rSBwrRuSgfupPVYxPIzaq3-OPc1i6BDio_yOUiFio_HRHaUDUs1fomUDUseFH_HibmUpHArhUB7DUSCaq3oB9f-2gmUEH_yFHmFigfYxQVY2gmUEHiFigMBXy3hwrMuDrMVXqOYxgIosQR-BUstRo_nXo_URHpyRH_j7osrRomFir9uBrSBwrMuDrMVXqOYpyfYagZUEHmd76_KpHA1pHAURHprNosjNwe?dv=desktop&pub_domain=0&t=desktop&pub_id=0&management_type=1&is_search=1&page=1&ob=23&keywords=earphone&src=search&pub_unit=0&r=https%3A%2F%2Fwww.tokopedia.com%2Fnailaalfirdaus%2Fheadset-earphone-realme-super-bass-original-100%3FextParam%3Divf%253Dfalse%26src%3Dtopads
6|MOONDROP CHU II / CHU 2 Dynamic Driver In-Ear Monitor Earphone iem|500+ terjual|5.0|Jakarta Pusat|GAP TECH OFFICIAL|https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/7/10/00cd32e1-4c46-43e1-ba60-73b40d14dbdd.jpg|https://www.tokopedia.com/gaptechofficial/moondrop-chu-ii-chu-2-dynamic-driver-in-ear-monitor-earphone-iem?extParam=ivf%3Dfalse%26src%3Dsearch
7|JBL C150SI Black In-Ear Earphone cable with Mic|10rb+ terjual|4.9|Jakarta Utara|JBL Official Store|https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/11/23/32f3bf5a-945f-4b6a-9847-204a30f62d50.jpg|https://www.tokopedia.com/jbl-official/jbl-c150si-black-in-ear-earphone-cable-with-mic?extParam=cmp%3D1%26ivf%3Dfalse%26src%3Dsearch
8|Headset Earphone JETE Classic 3 - Garansi 2 Tahun|5rb+ terjual|4.9|Jakarta Pusat|JETE Authorized Store|https://images.tokopedia.net/img/cache/200-square/VqbcmM/2022/10/29/d5bbb34d-1ca8-4aec-9be0-7b036dae067d.jpg|https://www.tokopedia.com/jeteofficialsby/headset-earphone-jete-classic-3-garansi-2-tahun?extParam=ivf%3Dfalse%26src%3Dsearch%26whid%3D14984488
9|Handfree Earphone iPhone 7 8 XS Max 11 12 13 14 Pro Max Original 100%|100+ terjual|5.0|Jakarta Pusat|AKSESORIS.ORIGINAL|https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/3/31/86ced9f6-fc70-4171-9117-8b47d244daa6.jpg|https://www.tokopedia.com/accoriginal88/handfree-earphone-iphone-7-8-xs-max-11-12-13-14-pro-max-original-100?extParam=cmp%3D1%26ivf%3Dfalse%26src%3Dsearch
10|EARTIPS KARET HEADSET HANDSET EARPHONE HANDSFREE UNIVERSAL|250+ terjual|4.9|Jakarta Barat|JV ACC|https://images.tokopedia.net/img/cache/200-square/hDjmkQ/2023/7/15/56cd58e4-41ac-4aca-a10b-8a2fbe984578.png|https://www.tokopedia.com/jv-acchp/eartips-karet-headset-handset-earphone-handsfree-universal?extParam=ivf%3Dfalse%26src%3Dsearch
