id|nama_product|terjual|rating|lokasi|nama_toko|img|link_product
1|Kacamata Pria/Wanita Mollucas Kaihulu Gel +Lensa Anti Radiasi Essilor|40+ terjual|5.0|Surabaya|Mollucas Eyewear|https://images.tokopedia.net/img/cache/200-square/VqbcmM/2022/2/17/2261670e-ae21-4f69-93c2-007af29f23ab.jpg|https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEH_eaHAnOHpydbm-xgVY789CBUsthbm-Orfua9fBjUstiHmUDUSz2Q31i6sJRHAJdopr76AyDUMoFyaUEH_JFHmFircYpq9z2Qfdi6sJDUMVDgaUEUSo7QuYDHOYDHBYDHZUDUMNOQ3-BrBY5gBYxgIHi6sUObm-XP3Oig9-wy3zp9R-BrZUEHs1DUMoxPVY2gIHi6BDhop1dbAJNHpUDH_jOHB7DUMNwyfVXgcBjy9zB9fVjraUEH_HNbm-xyBY7g9o7Usti_iUDUSC5rRzwy3hSUstigcuMUiFiPMuarfB5QiUEUSyaUiFiy3zwrfo5rM1i6syhoidNHAKhHpeFHpKhoAnObm-pHOYDQfri6i-B812kgJxGgBBXZSgjH7NDZ325q1O2oAC6ucWR_uzg8jY1__C6zJja_32oq1hAZM2jZJ2Myp-3qcoW_MY-qMY2_uzCP1Nk3_-6qBja_M2gHjNk3_-6qBj7Z3BRq3JausujHsBN3jyN8Bja69Bq17jfZ32Cq1hAZSuiHsuk3Bo-ojBW39BvuOJ7_1zqqjh9u_-gqMW7_jPu81Y_H3xgqMPE_VzooJO1qRxquJOd_jPz8BB_Z9o-Q_BNyuPjrc-D63Wq3J-MyuPzq1Y2Z9P-q9P2ysoGrVtaQIuyH7-Nys-ZHujp1MgxuOV2_fB-P7B2PfBiH72F3s-DPuKp_MYiH7-MyuPzq1Y2Z9P-q9P2yOx3QcoXQcgjz7gXyRB-ojBWPRBizpjpgjxdr7O98IgjHRKdyjz6gjO1qpVoQSKdypoZPcgU8c2gq1BpZ3N6qMUpZMhyHj2Nysoj8B2_Z_g-qjV2_JoG8Bja69BqusBE3BPc8ujagfBvq1jh_1zSP1YJu_Voqj7p_Oz0HJYJz_-ve7tNUiFiyfhOrRzBrBY2gVYfHiUEo_JfosrDUMoxPcuSQR-N9RoOgfPBrRzwy9z7rMBiP9zBUs2QUsJdos1ibmUh6_1aUiFiH_KfomUDUsJNHpeibmU7HAU7UB7DUSCaq3oB9f-2gmUEH_JFHmFigfYxQVY2gmUEHiFigMBXy3hwrMuDrMVXqOYxgIosQR-BUstdHsnXHAr7opUOHsrFo_nhHZFir9uBrSBwrMuDrMVXqOYpyfYagZUEHmdOoAKfosnRosHpHsJpos1dwe?src=search&t=desktop&ob=23&dv=desktop&pub_unit=0&page=1&pub_id=0&management_type=1&pub_domain=0&keywords=kacamata&r=https%3A%2F%2Fwww.tokopedia.com%2Fmollucaseyewear%2Fkacamata-pria-wanita-mollucas-kaihulu-gel-lensa-anti-radiasi-essilor%3FextParam%3Divf%253Dtrue%26src%3Dtopads&is_search=1
2|ILLUSTRO (M) KACAMATA UNISEX F IM YD15017 C2 52|1 terjual|5.0|Jakarta Selatan|Optik Melawai Official|https://images.tokopedia.net/img/cache/200-square/hDjmkQ/2023/11/27/d6d6e702-372f-4e68-a365-a7798c18a76c.png|https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEH_yh6_yRosHdbm-xgVY789CBUsthbm-Orfua9fBjUstiHmUDUSz2Q31i6sJRHAJdopr76AyDUMoFyaUEH_UFHmFircYpq9z2Qfdi6sUDUMVDgaUEUSo7QuYDHOYDHBYDHZUDUMNOQ3-BrBY5gBYxgIHi6sUObm-XP3Oig9-wy3zp9R-BrZUEHs1DUMoxPVY2gIHi6BDhop1dbAJNHpUDH_jOHB7DUMNwyfVXgcBjy9zB9fVjraUEH_HNbm-xyBY7g9o7Usti_iUDUSC5rRzwy3hSUstigcuMUiFiPMuarfB5QiUEUSyaUiFiy3zwrfo5rM1i6syh6ZdO6_UOosyRoAnNH_rfbm-pHOYDQfri6i-B812kgJxGgBBXZSgjH7NDZ325q1O2oAz6ucod_jz-oJN1yRx6zJj7_Bzsq1hAZM2jZJ2Myp-3qcoW_MY-qMY2_uzCq1hAZS-q3cFpysoGqOKp_M2iH72DZ325q1OAZ9o-Q_ufyMO6QJBkQfBqqjjO3jzSP7NW_9zquV22_OHFHV21Z_uHu7g2_7zoPJOEgRxvuJgD_92VHV2J_Mx-q9P2ysoGrVtaQIuyHB-Dy7yNrV2AZ_g-qjV2_JoGPMoWQcNxupuMy7xGPB2UuM2jzsBF3jo-ojBke3BHe72fyfODQMV9o3gsHMxfy7yNrV2AZ_g-qjV2_JoG8cz9uSBBusjF3uPj8jBkQfBizJ2pysoj6cgIPRxizpjpgjxdr77h6IxvuVuNgjxd8MzIH_xMz7N2Z3BRq3Ha_SgsQugM33NGPMep_Mh-qMY2_1o-r7BX_M2iH72D3Ao6QVByZM2xe7jfZ32u8JO_oIP6qMDF_7zgP7N1qpC6uJ7pZ3dFvZUDUMoDP9o7g9-wq3zwPsUi6sH7o_nNbm-sy9zBgfYa8uYpP3PSg9o79fV7PI-2ySu7gZUE3aUh6AyOUiFiH_jOHiUDUsJdoseibmUh6_H7UiFioAnaom-Pbm-FrMBsguYiq3ei6sJaHAnDUMP5y3hwq3ei6sUDUMg2QMVD9R-BQI-xQMWwy3zpyfYagZUEopjabsKpH_epop1NosyN6AeDUSVOg9-N9R-BQI-xQMWwrfo5rM1i6snXoAHNHsnao_eRoAy7oA1OH_zY?management_type=2&keywords=kacamata&r=https%3A%2F%2Fwww.tokopedia.com%2Foptik-melawai%2Fillustro-m-kacamata-unisex-f-im-yd15017-c2-52%3FextParam%3Divf%253Dfalse%26src%3Dtopads&pub_unit=0&pub_domain=0&ob=23&is_search=1&page=1&t=desktop&dv=desktop&src=search&pub_id=0
3|Illustro Kacamata Unisex F IM YDOLD7476A C1 55|||Jakarta Selatan|Optik Melawai Official|https://images.tokopedia.net/img/cache/200-square/hDjmkQ/2023/11/28/ad805e18-c523-4d29-9449-92a747750d7b.png|https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEHsnFH_KhHAUObm-xgVY789CBUsthbm-Orfua9fBjUstiHmUDUSz2Q31i6sJRHAJdopr76AyDUMoFyaUEH_HOHmFircYpq9z2Qfdi6sHDUMVDgaUEUSo7QuYDHOYDHBYDHZUDUMNOQ3-BrBY5gBYxgIHi6sUObm-XP3Oig9-wy3zp9R-BrZUEHs1DUMoxPVY2gIHi6BDhop1dbAJNHpUDH_jOHB7DUMNwyfVXgcBjy9zB9fVjraUEH_HNbm-xyBY7g9o7Usti_iUDUSC5rRzwy3hSUstigcuMUiFiPMuarfB5QiUEUSyaUiFiy3zwrfo5rM1i6syhHid7o_yhHpnhHpef6Anabm-pHOYDQfri6i-B812kgJxGgBBXZSgjH7NDZ325q1OAZ9o-Q1dFyfFN8B29zSBgHMP2_fB-8jhkqRBouV1a_7zg81NE1_VozcD7_1z-q1hAZS-q3cFpysoGqOKp_M2iH72DZ325q1OAZ9o-Q_ufyMO6QJBkQfBqqjjO3jzSP7NW_9zquV22_OHFHV21Z_uHu7g2_7zoPJOEgRxvuJgD_92VHV2J_Mx-q9P2ysoGrVtaQIuyHB-Dy7yNrV2AZ_g-qjV2_JoGPMoWQcNxupuMy7xGPB2UuM2jzsBF3jo-ojBke3BHe72fyfODQMV9o3gsHMxfy7yNrV2AZ_g-qjV2_JoG8cz9uSBBusjF3uPj8jBkQfBizJ2pysoj6cgIPRxizpjpgjxdr77h6IxvuVuNgjxd8MzIH_xMz7N2Z3BRq3Ha_SgsQugM33NGPMep_Mh-qMY2_1o-r7BX_M2iH72D3Ao6QVByZM2xe7jfZ32uP7N_oIxvzJOR_uz-o1NJe_ovzcHp_MBG6ZUDUMoDP9o7g9-wq3zwPsUi6sHFHAKObm-sy9zBgfYa8uYpP3PSg9o79fV7PI-2ySu7gZUE3aUh6AyOUiFiH_jOHiUDUsJdoseibmUh6_H7UiFioAnaom-Pbm-FrMBsguYiq3ei6sJpo_nDUMP5y3hwq3ei6sUDUMg2QMVD9R-BQI-xQMWwy3zpyfYagZUEopK7bsehosjfHAHfo_1OoprDUSVOg9-N9R-BQI-xQMWwrfo5rM1i6snXoAUfo_e76_raHAUa6_HfHR7?dv=desktop&pub_unit=0&t=desktop&pub_id=0&page=1&r=https%3A%2F%2Fwww.tokopedia.com%2Foptik-melawai%2Fillustro-kacamata-unisex-f-im-ydold7476a-c1-55%3FextParam%3Divf%253Dfalse%26src%3Dtopads&src=search&pub_domain=0&management_type=2&keywords=kacamata&ob=23&is_search=1
4|Kacamata LITE Unity White Pink|4 terjual|5.0|Kab. Tangerang|Lite Fitness Indonesia|https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/9/7/b9e0858e-5647-4a50-a781-aa429ad56645.png|https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEH_jdosnfH_Jabm-xgVY789CBUsthbm-Orfua9fBjUstiHmUDUSz2Q31i6sJRHAJdopr76AyDUMoFyaUEHp1FHmFircYpq9z2Qfdi6seDUMVDgaUEUSo7QuYDHOYDHBYDHZUDUMNOQ3-BrBY5gBYxgIHi6sUObm-XP3Oig9-wy3zp9R-BrZUEHs1DUMoxPVY2gIHi6BDhop1NbAJdHAHDoAnaoV7DUMNwyfVXgcBjy9zB9fVjraUEH_HNbm-xyBY7g9o7Usti_iUDUSC5rRzwy3hSUstigcuMUiFiPMuarfB5QiUEUSyaUiFiy3zwrfo5rM1i6srfoadFHpJRHAKN6_y7opHpbm-pHOYDQfri6i-B812kgJxGgBBXZSgjH7NDZ325q1OAZ9o-Q1dFyfFN8B29zSBgHMP2_fB-H7hke_VvzcPN_92u81Y119xoucHa_jzuq1hAZS-q3cFpysoGqOKp_M2iH72DZ325q1OAZ9o-Q_ufyMO6QJBkQfBqqjjO3jzSP7NW_9zquV22_OHFHV21Z_uHu7g2_7zoPJOEgRxvuJgD_92VHV2J_Mx-q9P2ysoGrVtaQIuyHB-Dy7yNrV2AZ_g-qjV2_JoGPMoWQcNxupuMy7xGPB2UuM2jzsBF3jo-ojBke3BHe72fyfODQMV9o3gsHMxfy7yNrV2AZ_g-qjV2_JoG8cz9uSBBusjF3uPj8jBkQfBizJ2pysoj6cgIPRxizpjpgjxd8MzIH_xMzRPE3I2zP7Ok1sxMz7N2Z3BRq3Ha_SgsQugM33NGPMep_Mh-qMY2_1o-r7BX_M2iH72D3Ao6QVByZM2xe7jfZ32g8jO2oA-vzVVE_uz081Nkz_o68jjOZ3dFvZUDUMoDP9o7g9-wq3zwPsUi6sUa6AKRbm-sy9zBgfYa8uYpP3PSg9o79fV7PI-2ySu7gZUE3aUh6AyOUiFiH_jOHiUDUsJdoseibmUh6_H7UiFioAnaom-Pbm-FrMBsguYiq3ei6sHOHAnDUMP5y3hwq3ei6sUDUMg2QMVD9R-BQI-xQMWwy3zpyfYagZUEH_naoada6AKR6_jfHsKFosJDUSVOg9-N9R-BQI-xQMWwrfo5rM1i6snXHpUdosndoAUfosKNos1foAuY?dv=desktop&r=https%3A%2F%2Fwww.tokopedia.com%2Flitefitness%2Fkacamata-lite-unity-white-pink%3FextParam%3Divf%253Dtrue%26src%3Dtopads&is_search=1&pub_id=0&page=1&ob=23&management_type=1&pub_domain=0&pub_unit=0&src=search&keywords=kacamata&t=desktop
5|KACAMATA TERAPI SEHAT MATA ANTI RADIASI ION NANO 5 ORIGINAL|100+ terjual|5.0|Jakarta Timur|K-LINK OFFICIAL SHOP|https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/5/18/24578c56-c9a1-4464-86f0-ff9241a0d4e9.jpg|https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEH_rp6_HFo_rpbm-xgVY789CBUsthbm-Orfua9fBjUstiHmUDUSz2Q31i6sJRHAJdopr76AyDUMoFyaUEHp1FHmFircYpq9z2Qfdi6s1DUMVDgaUEUSo7QuYDHOYDHBYDHZUDUMNOQ3-BrBY5gBYxgIHi6sUObm-XP3Oig9-wy3zp9R-BrZUEHs1DUMoxPVY2gIHi6BDhop1dbAJNHpUDH_jOHB7DUMNwyfVXgcBjy9zB9fVjraUEH_HNbm-xyBY7g9o7Usti_iUDUSC5rRzwy3hSUstigcuMUiFiPMuarfB5QiUEUSyaUiFiy3zwrfo5rM1i6syaomdOop1R6_rFHArfopyNbm-pHOYDQfri6i-B812kgJxGgBBXZSgjH7NDZ325q1OAZ9o-Q1dFyfFN8B29zSBgHMP2_fB-81hkZ_ooqMoN_S2-H7OkyRB68jjp_9B-r7BWPchB3czfyfOZgMHa_SgsQuu2_fB-P7B2PfBiQ_BO3_-uq1Y2ZMOoqMh0_7zCHBBNH3h6Q1jO_VzZQJOkqRzgu7j7_9jF8jYJz_uouOuE_uzZq77az3BHe72fyfODQMV9o3gqzOgR3A-Dq7BkQfBoe7BpZ37N83V9gICiQABRyf7Nqfz9_sCyHMh0Z325q1OAZ9o-Q_BNyuPjrc-D692xzpBR3A-Dq7BkQfBoe7BpZ3NcHu2yZsuyHO-t3sooq1Y2ZSooQ9xfgAod6c-JzSoiHfedgjPR8BxEz_u6uJtdgjx6Hc-y8AxgHjB2_JoG8Bja69BqusB2yf7NHfHau3Bvq1BRZ3BRq3Ha_SgsQugMyp-3qcoW_MY-qMY2_BzVH1hkz_ovucrO_uz0HJOk__ovzcP2gBJYvZUDUMoDP9o7g9-wq3zwPsUi6sURHsepbm-sy9zBgfYa8uYpP3PSg9o79fV7PI-2ySu7gZUE3aUh6AyOUiFiH_jOHiUDUsJdoseibmUh6_H7UiFioAnaom-Pbm-FrMBsguYiq3ei6sHOHAnDUMP5y3hwq3ei6sUDUMg2QMVD9R-BQI-xQMWwy3zpyfYagZUE6AJdbsjhHsjaHAK7HAKhHpjDUSVOg9-N9R-BQI-xQMWwrfo5rM1i6snXHsraHpnhH_yRoAjp6AehoS7?pub_unit=0&pub_domain=0&management_type=1&src=search&pub_id=0&keywords=kacamata&t=desktop&dv=desktop&is_search=1&page=1&r=https%3A%2F%2Fwww.tokopedia.com%2Fannisaherbalshopp%2Fkacamata-terapi-sehat-mata-anti-radiasi-ion-nano-5-original-black-purple%3FextParam%3Divf%253Dtrue%26src%3Dtopads&ob=23
6|kacamata hitam pria wild street men sunglasses jgl144|2rb+ terjual|4.9|Jakarta Pusat|Oila|https://images.tokopedia.net/img/cache/200-square/product-1/2020/6/5/7907015/7907015_44110ede-9133-4513-b288-1cdf2d15eba1_600_600|https://www.tokopedia.com/oila/kacamata-hitam-pria-wild-street-men-sunglasses-jgl144?extParam=ivf%3Dfalse%26src%3Dsearch
7|Kacamata Goodr Running Sunglasses OGs Going to Valhalla Witness !!!|250+ terjual|4.9|Jakarta Pusat|Moira Fit|https://images.tokopedia.net/img/cache/200-square/product-1/2019/5/10/32951617/32951617_196a2ab5-9e6a-4c67-affc-ee000277f521_824_824|https://www.tokopedia.com/moirafit/kacamata-goodr-running-sunglasses-ogs-going-to-valhalla-witness?extParam=ivf%3Dfalse%26src%3Dsearch
8|kacamata hitam pria polarized sunglass polaroid antisilau UV original|2rb+ terjual|4.9|Jakarta Pusat|sahabat market|https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/4/29/dd8747e1-1bd2-4f3e-ba71-aec841c837c0.jpg|https://www.tokopedia.com/sahabatmarket/kacamata-hitam-pria-polarized-sunglass-polaroid-antisilau-uv-original?extParam=ivf%3Dfalse%26src%3Dsearch
9|Kacamata Baca Plus Colore.in Progresif Anti Blueray TR-90 Sport KY1119|1rb+ terjual|4.9|Jakarta Pusat|Colore_in Official Shop|https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/6/19/0f3bef4f-804b-4cae-992a-1f9ed9baf6ac.jpg|https://www.tokopedia.com/coloreinofficialshop/kacamata-baca-plus-colore-in-progresif-anti-blueray-tr-90-sport-ky1119-black-red-1-00sd-4-00-1109b?extParam=ivf%3Dtrue%26src%3Dsearch
10|Kacamata Wanita Sunglasses Gentle Monster GM Her Mirror Authentic Ori|2rb+ terjual|4.9|Jakarta Pusat|Bandar-Kacamata|https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/12/29/58958894-3f65-4b7f-a823-96ae22651894.jpg|https://www.tokopedia.com/bandarkacamata1/kacamata-wanita-sunglasses-gentle-monster-gm-her-mirror-authentic-ori?extParam=ivf%3Dfalse%26src%3Dsearch
