id|nama_product|terjual|rating|lokasi|nama_toko|img|link_product
1|PC GAMING & DESIGN FULL SET DDR4 I5-10400F / 16GB / 1650 4GB + MONITOR - PC SAJA|100+ terjual|5.0|Jakarta Utara|FC Computer id|https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/11/23/3666f361-3fde-4902-944d-d09740806a46.png|https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEH_U7osHFoA1fbm-xgVY789CBUsthbm-Orfua9fBjUstiHmUDUSz2Q31i6sJRHAJdo_1NHp1DUMoFyaUEHsJFHmFircYpq9z2Qfdi6sJDUMWB89P5rMzwq3ei6sHh6_Ud6_rRo_UDUMVDgaUEUMW79RCtrMVpguY7QZUDUMNOQ3-BrBY5gBYxgIHi6sUObm-XP3Oig9-wy3zp9R-BrZUEHs1DUMoxPVY2gIHi6BDa6_rDHpK7oaF7HAnN9ZFiQBYsy3Njq3zxPcuwy3zpUsthHsKDUMVi9RzBrRei6i-6UiFircYpPVYxQcri6i-jg3yibm-fg9-pq3YXUstiPsUibm-xgVYpyfYagZUE6_URbsedo_nh6AJOHpKhHsyDUSHp9fh5gaUEUMuNZM2jZJ2M33NGPMep_Mh-qMY2_1o-r7BW_sCsQABE3BPc8ujagfBvq1ja_c2zH1O139xoqMWR_92-81N1gRP6q1BpZ3O7QcuygIgsQu-Myp-6PMoWu3Bvq1BR_c2VoJOEypV-q9P2yM7NPujau3Bvq1223jzzP7NJgR2oepV2_uP3q1h11_uvzOB73uzDqJO_HAuozJjp_uP6qJOEZMW6QuV2_JoGPMoWQcNxupuM3jP3POKaQcW-qMY2_1o-r7BW69BxufzFyMFNPfoW63Wju7dF3A-Dq7BkQfBoe7BpZ37N83V9gICiQABEy1rNPOKaQcW-qMY2_1o-r7BXzsVq3JtO3AoZqVtp_3Bvq1tFyBxd6cJp1MgszfxN3ux6QJB2PfBsHjNfyfO3gBBXZSgjH7NDZ325q1OAZ9o-QjNkysoGQVKp_Mhg3J2ky1o-ojBkyp-61pzR_92ooJN1ypoo8j1p_92uH7BXHA7ibm-sy9zBgfYa8uYpP3PSg9o79fV7PI-2ySu7gZUE3aU7HAnNUiFiHpKOHiUDUsHNo_JibmUpHAUibmUpHsHi9ZFigR-5P9CwrRzay9zBgRji6BDhbA-Pbm-ag3hBPMVXyfuwrfo5rM1i6snX6AKFoAJF6_1dop1fHAUfHaFirI-2yfuwyMBjUstaH_nFbm-SQfVD9fBjUstabm-Mq3NxQVYag3hay3N09fVjrfo5rM1i6sJpo_jXHpnpH_HhoAyfo_1dHiFir9uBrSBwrMuDrMVXqOYpyfYagZUEHmdRHpyho_jaHsnfHAH7osJpwe?management_type=1&is_search=1&r=https%3A%2F%2Fwww.tokopedia.com%2Ffccomputer%2Fpc-gaming-design-full-set-ddr4-i5-10400f-16gb-1650-4gb-monitor-pc-saja%3FextParam%3Divf%253Dtrue%26src%3Dtopads&pub_domain=0&keywords=pc+gaming&pub_id=0&src=search&page=1&t=desktop&ob=23&pub_unit=0&dv=desktop
2|PC GAMING CORE I7 RAM 8 / 16 GB SSD COMPLETE SIAP GAMING BERAT - PC SAJA|500+ terjual|4.9|Jakarta Utara|FC Computer id|https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/11/27/e0b4159c-5f35-4d41-9267-16078d55ae7f.png|https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEH_HfHAjRH_efbm-xgVY789CBUsthbm-Orfua9fBjUstiHmUDUSz2Q31i6sJRHAJdo_1NHp1DUMoFyaUEHsHFHmFircYpq9z2Qfdi6sUDUMWB89P5rMzwq3ei6sHh6_Ud6AKRosjDUMVDgaUEUMW79RCtrMVpguY7QZUDUMNOQ3-BrBY5gBYxgIHi6sUObm-XP3Oig9-wy3zp9R-BrZUEHs1DUMoxPVY2gIHi6BDa6_rDHpK7oaF7HAnN9ZFiQBYsy3Njq3zxPcuwy3zpUsthHsKDUMVi9RzBrRei6i-6UiFircYpPVYxQcri6i-jg3yibm-fg9-pq3YXUstiPsUibm-xgVYpyfYagZUEopHpbsj76_U76_jhHAKOHsyDUSHp9fh5gaUEUMuNZM2jZJ2M33NGPMep_Mh-qMY2_1o-r7BW_sCsQABE3BPc8ujagfBvq1ja_c2uH7N1__CoqBJa_BzsH1OE19B6e7BpZ3O7QcuygIgsQu-Myp-6PMoWu3Bvq1BR_c2-P7O1Z_V-q9P2yM7NPujau3Bvq1223jzzP7NJgR2oepV2_uP3q1h11_uvzOB73uzDqJO_HAuozJjp_uP6qJOEZMW6QuV2_JoGPMoWQcNxupuM3jP3POKaQcW-qMY2_1o-r7BW69BxufzFyMFNPfoW63Wju7dF3A-Dq7BkQfBoe7BpZ37N83V9gICiQABEy1rNPOKaQcW-qMY2_1o-r7BXzsVq3JtO3AoZqVtp_3Bvq1tFyBxd6cJp1MgszfxN3ux6QJB2PfBsHjNfyfO3gBBXZSgjH7NDZ325q1OAZ9o-QjNkysoGQVKp_Mhg3J2ky1o-ojBk39P61pzE_Ozg8jOkqpuouJ1O_32uq3gzv_7ibm-sy9zBgfYa8uYpP3PSg9o79fV7PI-2ySu7gZUE3aU7HAnNUiFiHpKOHiUDUsHNo_JibmUpHAUibmUpHsHi9ZFigR-5P9CwrRzay9zBgRji6BDhbA-Pbm-ag3hBPMVXyfuwrfo5rM1i6snXopKfHprfHsHdHAKRoAndbm-FrMBsguYiq3ei6sUpHAnDUMP5y3hwq3ei6sUDUMg2QMVD9R-BQI-xQMWwy3zpyfYagZUEH_ndoadhHsU7HsyFopjOo_rObm-hP3ua8uYag3hay3N09RosQR-BUstFbsrfHsHNH_URHsJdHAUFH97?management_type=1&src=search&is_search=1&pub_id=0&pub_unit=0&pub_domain=0&keywords=pc+gaming&t=desktop&r=https%3A%2F%2Fwww.tokopedia.com%2Ffccomputer%2Fpc-gaming-core-i7-ram-8-16-gb-ssd-complete-siap-gaming-berat-pc-saja%3FextParam%3Divf%253Dtrue%26src%3Dtopads&page=1&dv=desktop&ob=23
3|PC GAMING INTEL CORE I7 RAM 16 GB SSD 120 GB WITH LED 24 IN SAMSUNG - PC AJA PC ONLI|100+ terjual|4.8|Bandung|riuu computer|https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/11/6/80ae31a5-38a8-4c95-8c58-998db89d7193.png|https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEoseaHpjO6AKDUMVj9RzNrc1i6sJDUSupg9-wq3ei6iUFUiFiPcBWgZUEH_rFH_KOo_jpoZFiyRCsUsthHs1Fbm-FQRo2PcB5QiUEHaFiqfuNPfYagVY2gmUEoAnfHAUh6AjN6ZFiy3hSUstiqRzwrcxay9oB9RzWUiFiQSuWyMua9fYM9fVjraUEHs1DUMNOQ3-BrBYxgIowrMuhUstaoZFiyfV79fBjraUE3pUNoaFp6AeRbAeFHABPbm-X9foxQMz2gcV7guYxgIHi6sJa6mFiy3-wPcupPmUEUjdibm-FQRo79fVDgaUEUMzBgiUDUSgBrSo2Qfdi6i-fHiUDUMVj9RosQR-BUstRHAHXHpyRopHFHAjNosnfHZFirpowQcYSUstig9BGqMzUZMggQj2fgAo6QJBkQfBoe7BpZ3O6HcoD692qu7gN3_-Sq1Y2Z9P-q9P2y_-3o3ea69BqzsBE3_UN8u2_Z_g-qjVO_uzCo1OEypV-q9P2yM7NPujau3Bvq1223jzzP7NJgR2oepV2_uP3q1h11_uvzOB73uzDqJO_HAuozJjp_uP6qJOEZMW6QuV2_JoGPMoWQcNxupuM3jP3POKaQcW-qMY2_1o-r7BW69BxufzFyMFNPfoW63Wju7dF3A-Dq7BkQfBoe7BpZ37N83V9gICiQABEy1rNPOKaQcW-qMY2_1o-r7BXzsVq3JtO3AoZqVtp_3Bvq1tFyBxd6cJp1MgszfxN3ux6QJB2PfBsHjNfyfO3gBBXZSgjH7NDZ325q1OAZ9o-QjNkysoGQVKp_Mhg3J2ky1o-ojBku_zoepzd_S2V81OE1_CvucDh_320HJBXHA7ibm-sy9zBgfYa8uYpP3PSg9o79fV7PI-2ySu7gZUE3aU7HAnNUiFiHpKOHiUDUsHNo_JibmUpHAUibmUpHsHi9ZFigR-5P9CwrRzay9zBgRji6BDhbA-Pbm-ag3hBPMVXyfuwrfo5rM1i6snX6_n7osypHAJfH_ya6AUp6ZFirI-2yfuwyMBjUsthHs1Fbm-SQfVD9fBjUstabm-Mq3NxQVYag3hay3N09fVjrfo5rM1i6sJFoAKXo_JaoAyO6_HhHArpomFir9uBrSBwrMuDrMVXqOYpyfYagZUEHmddosJ7HAyaHsjF6_Hao_JRwe?pub_unit=0&page=1&is_search=1&dv=desktop&pub_domain=0&ob=23&management_type=1&keywords=pc+gaming&src=search&pub_id=0&r=https%3A%2F%2Fwww.tokopedia.com%2Friuu09%2Fpc-gaming-intel-core-i7-ram-16-gb-ssd-120-gb-with-led-24-in-samsung-pc-aja-pc-onli%3FextParam%3Divf%253Dfalse%26src%3Dtopads&t=desktop
4|PC GAMING & DESIGN RYZEN 5600G 16GB RAM FULLSET SIAP PAKAI - PC SAJA|100+ terjual|5.0|Jakarta Utara|FC Computer id|https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/11/30/e64dd962-0b73-44f2-82ff-da5229279902.png|https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEH_y7osj7osjObm-xgVY789CBUsthbm-Orfua9fBjUstiHmUDUSz2Q31i6sJRHAJdo_1NHp1DUMoFyaUEH_eOHmFircYpq9z2Qfdi6seDUMWB89P5rMzwq3ei6sH7osHdHpHdosJDUMVDgaUEUMW79RCtrMVpguY7QZUDUMNOQ3-BrBY5gBYxgIHi6sUObm-XP3Oig9-wy3zp9R-BrZUEHs1DUMoxPVY2gIHi6BDa6_rDHpK7oaF7HAnN9ZFiQBYsy3Njq3zxPcuwy3zpUsthHsKDUMVi9RzBrRei6i-6UiFircYpPVYxQcri6i-jg3yibm-fg9-pq3YXUstiPsUibm-xgVYpyfYagZUEosHFbs1No_1dHpnRoArp6ZFirpowQcYSUstig9BGqMzUZMggQj2fgAo6QJBkQfBoe7BpZ3O6HcoD692qu7gN3_-Sq1Y2Z_CHqB17_1zVH1Ok3_ooucHh_Bzs81N_Z9o-Q9zDguxjPMoW1MgsHjNfyfOuq1Y2Z9PHqjuN_M2SH7N_Z9o-Q_ufyMO6QJBkQfBgQuJF_1zzoJOEe9zgqjgD33jFHJY1qcOHu71O3uzVPJY1e9B68jgk3uzo8u2J3MW-q9P2ysoGrVtaQIuyHB-Dy7yNrV2AZ_g-qjV2_JoGPMoWQcNxupuMy7xGPB2UuM2jzsBF3jo-ojBke3BHe72fyfODQMV9o3gsHMxfy7yNrV2AZ_g-qjV2_JoG8cz9uSBBusjF3uPj8jBkQfBjzpJdgjP7HVKpeMYsQ1gE3Bo-r7BX_M2iH72D3A-G83UpgI2q17jfZ32Cq1hAZS2gHsBN3ByN8B29zSBgHMP2_fB-H1Oke9uouVJh_320oJNJ39268j77_BoG6ZUDUMoxPcuSQR-N9RoOgfPBrRzwy9z7rMBiP9zBUs2QUseFHAjibmUp6A1aUiFiHpjOHZUDUsHFHiUDUsHaHa-Pbm-SrMYOrVYpPI-xPcuS8ZUE3pJDHB7DUS-BQcufy3NsguYpyfYagZUEHmddH_y76_ndosyNHsUfHpnpbm-FrMBsguYiq3ei6sJ7o_nDUMP5y3hwq3ei6sUDUMg2QMVD9R-BQI-xQMWwy3zpyfYagZUE6AKpbsnpHsr7opr7oAjhopHDUSVOg9-N9R-BQI-xQMWwrfo5rM1i6snXosrFosHF6_Hh6_JRopyR697?src=search&page=1&is_search=1&pub_id=0&t=desktop&keywords=pc+gaming&ob=23&management_type=1&dv=desktop&r=https%3A%2F%2Fwww.tokopedia.com%2Ffccomputer%2Fpc-gaming-design-ryzen-5600g-16gb-ram-fullset-siap-pakai-pc-saja%3FextParam%3Divf%253Dtrue%26src%3Dtopads&pub_unit=0&pub_domain=0
5|[Baru] Komputer/PC Rakitan I7 Gen 12 th Gaming Lengkap Siap Pakai|100+ terjual|4.9|Jakarta Pusat|KSS Komputer|https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/11/15/65161361-5d67-4fac-870b-2ee9bedb2763.png|https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEH_1Rop1do_1DUMVj9RzNrc1i6sJDUSupg9-wq3ei6iUFUiFiPcBWgZUEH_rFH_KOo_jpoZFiyRCsUsthHAnFbm-FQRo2PcB5QiUEoZFiqfuNPfYagVY2gmUEHpj7HAjNHseh6ZFiy3hSUstiqRzwg9xxyRzwPc7ibm-XP3Oig9-wQfgwy3zpUstaoZFiQSuWyMua9fVjrOYag9Ji6sUObm-sy9zwq3zpUs2QHsjRbAHdoArDoAnF6u7DUMNwyfVXgcBjy9zB9fVjraUEH_Udbm-xyBY7g9o7Usti_iUDUSC5rRzwy3hSUstigcuMUiFiPMuarfB5QiUEUSyaUiFiy3zwrfo5rM1i6s1NoidaH_yNo_rdH_1OHs1Nbm-pHOYDQfri6i-B812kgJxGgBBXZSgjH7NDZ325q1OAZ9o-Q1dFyfFN8B29zSBgHMP2_fB-P7B2PfBxHByOgAUN8u2c692gHsBN3Bo-ojBke9uouJ7p_Bo-r7BWo9giQ1NDZ325quBW1_CozVJ7_92CPVBkzMhgq_nF_OztQ1h9z_uguJu7_OzC81NEzM2guJON3jzqq7B2PfBiH72F3s-DPuKa1MhszsBF3jo-ojBke3BHe72fyfODQMV9o3gsZJ2f3jx3qMzc69Cqe7jfZ32Cq1hAZSgsQ3hXyurOgMHaqIgszsBF3jo-ojBke3BHe72dgVP383u36_CgufzEZ325q3zIH_xMzReF3A-3oVB9_sC-q9P2yp-6PMoWuMggQj2fgAo6QJBkQfBoe7BpZ3N6qMUpZMhyH7ND3uxGqMVAZ_g-qBJO_uH7H7YJgRx6qMDF_M2oH1OJyRB6e7tNUiFiyfV7g3P5rSBwrRuSgfupPVYxPIzaq3-OPc1i6BDioAnF6ZUDUsHdo_UibmUp6_1hUiFiHpnaUiFiHpUpUB7DUS-BQcufy3NsguYpyfYagZUEHmddHsJd6_KRoAnpo_yOHseabm-FrMBsguYiq3ei6sJFHAnDUMP5y3hwq3ei6sUDUMg2QMVD9R-BQI-xQMWwy3zpyfYagZUE6AKhbsJhHAJNoAKpHsJR6A1DUSVOg9-N9R-BQI-xQMWwrfo5rM1i6snX6AyOosyNosKR6_yaH_eNwe?src=search&keywords=pc+gaming&pub_id=0&page=1&ob=23&dv=desktop&r=https%3A%2F%2Fwww.tokopedia.com%2Fksskomputer%2Fbaru-komputer-pc-rakitan-i7-gen-12-th-gaming-lengkap-siap-pakai-16gb-8x2-ddr4-ssd-only-3218b%3FextParam%3Divf%253Dfalse%26src%3Dtopads&pub_unit=0&management_type=1&t=desktop&is_search=1&pub_domain=0
6|Mini PC Gaming MSI MPG Trident 3 - 228ID Core i5 - 16GB - RTX 3050 8GB|3 terjual|5.0|Jakarta Barat|Paradise Store Indonesia|https://images.tokopedia.net/img/cache/200-square/VqbcmM/2022/6/24/6fafe80f-9484-4db1-a415-f01e1e7fe173.png|https://www.tokopedia.com/paradisestoreid/mini-pc-gaming-msi-mpg-trident-3-228id-core-i5-16gb-rtx-3050-8gb?extParam=ivf%3Dfalse%26src%3Dsearch
7|PC Gaming Gen12 , i5 12400F , RTX 3060 12GB , 16GB DDR4 , NVME ,Render|100+ terjual|5.0|Kab. Tangerang|Venom Gaming Store|https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/9/13/976e3269-b2cd-4278-af18-feaa1f9a119d.png|https://www.tokopedia.com/venomgamingstore/pc-gaming-gen12-i5-12400f-rtx-3060-12gb-16gb-ddr4-nvme-render?extParam=ivf%3Dfalse%26src%3Dsearch
8|PC GAMING FULLSET I7 RAM 16GB MONITOR 19 INC - PC GAMING MURAH - PC GA|5rb+ terjual|5.0|Kab. Bandung|YEKI COMPUTER|https://images.tokopedia.net/img/cache/200-square/VqbcmM/2022/1/17/30638bf9-7559-4837-aba7-29ff1c3657c3.jpg|https://www.tokopedia.com/yahucomputer/pc-gaming-fullset-i7-ram-16gb-monitor-19-inc-pc-gaming-murah-pc-ga?extParam=ivf%3Dfalse%26src%3Dsearch
9|PC GAMING LIVE STREAMING EDITING CORE I7 3770 RAM 16GB SSD 120GB - KOM|5rb+ terjual|4.9|Kab. Bandung|YEKI COMPUTER|https://images.tokopedia.net/img/cache/200-square/VqbcmM/2022/1/17/1348e08c-acbd-42c3-ae0b-5a5910bb70eb.jpg|https://www.tokopedia.com/yahucomputer/pc-gaming-live-streaming-editing-core-i7-3770-ram-16gb-ssd-120gb-kom?extParam=ivf%3Dfalse%26src%3Dsearch
10|IMBA Value PC , Ryzen 5 5600G , RX Vega 7 , 16GB , Rakitan Gaming|2 terjual|5.0|Jakarta Utara|IMBA PC|https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/8/29/8f77ef5e-c4ac-4d26-987d-986c9de7cb7a.jpg|https://www.tokopedia.com/imbapc/imba-value-pc-ryzen-5-5600g-rx-vega-7-16gb-rakitan-gaming?extParam=ivf%3Dfalse%26src%3Dsearch
